episode,epsilon_turn_p1,epsilon_turn_p2,epsilon_sel_p1,epsilon_sel_p2,p1_winrate,p2_winrate,drawrate,p1_damage_avg,p2_damage_avg,avg_turns,p1_reward_avg,p2_reward_avg,timestamp
13000,0.3855170800267453,0.3855170800267453,0.3855170800267453,0.3855170800267453,69.70233058995461,30.29766941004538,0.0,58.33785862625952,51.70402276747942,6.628182447504038,54.78109376201831,-92.83701253749712,1787500467.2258403
14000,0.37788325480163704,0.37788325480163704,0.37788325480163704,0.37788325480163704,70.25212484822512,29.74787515177487,0.0,58.350796371687736,51.67745161059924,6.567888007999429,56.698592957645886,-94.41511320619956,1787500556.695903
15000,0.37040059094028266,0.37040059094028266,0.37040059094028266,0.37040059094028266,70.7419505366309,29.258049463369108,0.0,58.37050863275782,51.605492967135525,6.515165655622958,58.59196053596427,-95.99213385774281,1787500646.179669
16000,0.3630660952175016,0.3630660952175016,0.3630660952175016,0.3630660952175016,70.97681394912819,29.023186050871818,0.0,58.34054121617399,51.557090181863636,6.478220111243047,59.53490406849572,-96.77007687019561,1787500733.858378
17000,0.3558768336785291,0.3558768336785291,0.3558768336785291,0.3558768336785291,70.82524557378977,29.174754426210225,0.0,58.173548614787364,51.50405858478913,6.42703370389977,59.05105582024587,-95.96947238397742,1787500821.119304
18000,0.3488299304653734,0.3488299304653734,0.3488299304653734,0.3488299304653734,70.57385700794401,29.426142992055997,0.0,57.996194655852456,51.59491139381146,6.390311649352814,57.94483639797789,-94.62918726737404,1787500911.4591768
19000,0.3419225666664077,0.3419225666664077,0.3419225666664077,0.3419225666664077,70.712067785906,29.287932214093992,0.0,57.92281985158676,51.67296458081154,6.356349665807063,58.257828535340245,-94.78195884427136,1787501007.5547853
20000,0.3351519791887513,0.3351519791887513,0.3351519791887513,0.3351519791887513,70.81145942702864,29.18854057297135,0.0,57.83433328333583,51.66201689915504,6.312084395780211,58.6013199340033,-94.84825758712064,1787501104.3864992
21000,0.32851545965296697,0.32851545965296697,0.32851545965296697,0.32851545965296697,70.77282034188848,29.227179658111517,0.0,57.705918765773056,51.606256844912146,6.267844388362459,58.48931003285558,-94.47216799200038,1787501199.3502722
22000,0.3220103533096549,0.3220103533096549,0.3220103533096549,0.3220103533096549,71.08767783282578,28.91232216717422,0.0,57.699718194627515,51.48395527476024,6.214853870278624,59.77287396027453,-95.47879641834461,1787501294.7278552
23000,0.3156340579774985,0.3156340579774985,0.3156340579774985,0.3156340579774985,71.4795008912656,28.520499108734406,0.0,57.70003478109648,51.282270336072344,6.161732098604409,61.48371809921308,-96.90052606408418,1787501390.9370687
24000,0.30938402300233,0.30938402300233,0.30938402300233,0.30938402300233,71.51368692971126,28.486313070288737,0.0,57.61291196200158,51.191825340610805,6.115370192908629,61.72421982417399,-96.89279613349444,1787501492.7293222
25000,0.3032577482368202,0.3032577482368202,0.3032577482368202,0.3032577482368202,71.833126674933,28.166873325066998,0.0,57.565057397704095,51.12949482020719,6.069877204911804,62.887404503819845,-97.758129674813,1787501592.1507776
26000,0.29725278304036323,0.29725278304036323,0.29725278304036323,0.29725278304036323,72.2049151955694,27.795084804430598,0.0,57.54938271604938,51.04153686396677,6.022729895004038,64.28818122379909,-98.87842775277873,1787501695.008449
27000,0.2913667252987712,0.2913667252987712,0.2913667252987712,0.2913667252987712,72.46768638198586,27.532313618014147,0.0,57.54351690678123,51.02105477574904,5.982445094626125,65.23080626643457,-99.59375578682271,1787501805.3075614
