episode,epsilon_turn_p1,epsilon_turn_p2,epsilon_sel_p1,epsilon_sel_p2,p1_winrate,p2_winrate,drawrate,p1_damage_avg,p2_damage_avg,avg_turns,p1_reward_avg,p2_reward_avg,timestamp
10000,0.4093563705069002,0.4093563705069002,0.4093563705069002,0.4093563705069002,47.245275472452754,52.754724527547246,0.0,58.71497850214978,60.95705429457054,6.494250574942506,-25.231576842315768,-3.497150284971503,1787484466.6570425
11000,0.4012504910293465,0.4012504910293465,0.4012504910293465,0.4012504910293465,47.34115080447232,52.65884919552768,0.0,58.697209344605035,60.413507862921556,6.398781928915553,-24.110899009180983,-4.3497863830560854,1787484554.1035376
12000,0.39330512030856085,0.39330512030856085,0.39330512030856085,0.39330512030856085,47.34605449545871,52.65394550454129,0.0,58.674152153987166,59.99866677776852,6.32438963419715,-23.391634030497457,-4.784101324889592,1787484641.1580684
13000,0.3855170800267453,0.3855170800267453,0.3855170800267453,0.3855170800267453,47.173294361972154,52.826705638027846,0.0,58.686870240750714,59.65737250980694,6.24828859318514,-23.38481655257288,-4.539420044611953,1787484728.1737523
14000,0.37788325480163704,0.37788325480163704,0.37788325480163704,0.37788325480163704,47.02521248482252,52.97478751517749,0.0,58.68209413613313,59.44807513749018,6.1886293836154564,-23.618312977644454,-4.226198128705093,1787484815.824526
15000,0.37040059094028266,0.37040059094028266,0.37040059094028266,0.37040059094028266,47.190187320845276,52.809812679154724,0.0,58.67812145856943,59.17895473635091,6.118858742750484,-22.683621091927204,-4.954536364242384,1787484904.4910154
16000,0.3630660952175016,0.3630660952175016,0.3630660952175016,0.3630660952175016,47.22204862196113,52.777951378038864,0.0,58.635491531779266,59.17092681707393,6.064183488531967,-22.712767952003,-4.7788263233547905,1787484992.7134576
17000,0.3558768336785291,0.3558768336785291,0.3558768336785291,0.3558768336785291,47.33839185930239,52.6616081406976,0.0,58.691459325922004,59.02352802776307,6.018234221516382,-22.02205752602788,-5.353920357626022,1787485080.3379068
18000,0.3488299304653734,0.3488299304653734,0.3488299304653734,0.3488299304653734,47.425143047608465,52.574856952391535,0.0,58.732681517693464,58.966446308538416,5.969223932003778,-21.505471918226764,-5.762457641242153,1787485167.9550498
19000,0.3419225666664077,0.3419225666664077,0.3419225666664077,0.3419225666664077,47.30803641913583,52.69196358086417,0.0,58.71875164465028,58.98042208304826,5.927688016420189,-21.997894847639596,-5.163307194358191,1787485254.5675497
20000,0.3351519791887513,0.3351519791887513,0.3351519791887513,0.3351519791887513,47.43762811859407,52.56237188140594,0.0,58.81270936453177,59.03849807509624,5.890505474726264,-21.60641967901605,-5.446327683615819,1787485342.9025192
21000,0.32851545965296697,0.32851545965296697,0.32851545965296697,0.32851545965296697,47.635826865387365,52.364173134612635,0.0,58.90826627303462,59.04495024046474,5.849054806913957,-20.827532022284654,-6.06056854435503,1787485431.1404436
22000,0.3220103533096549,0.3220103533096549,0.3220103533096549,0.3220103533096549,48.12963047134221,51.87036952865779,0.0,59.077110131357664,58.899186400618156,5.8109176855597475,-18.68992318530976,-8.05645197945548,1787485518.7775457
23000,0.3156340579774985,0.3156340579774985,0.3156340579774985,0.3156340579774985,48.42398156601887,51.57601843398113,0.0,59.18542672057737,58.88167905743229,5.776053215077606,-17.595930611712536,-9.019999130472588,1787485608.0105715
24000,0.30938402300233,0.30938402300233,0.30938402300233,0.30938402300233,48.718803383192366,51.281196616807634,0.0,59.368505478938374,58.808174659389195,5.7436773467772175,-16.200949960418317,-10.30515395191867,1787485695.3251557
25000,0.3032577482368202,0.3032577482368202,0.3032577482368202,0.3032577482368202,48.874045038198474,51.125954961801526,0.0,59.50503979840806,58.806867725290985,5.710811567537299,-15.477500899964001,-10.948082076716931,1787485793.4980469
26000,0.29725278304036323,0.29725278304036323,0.29725278304036323,0.29725278304036323,48.80581516095535,51.19418483904465,0.0,59.6005730548825,58.73801007653552,5.680743048344294,-15.324141379177725,-10.927887388946578,1787485898.1377783
27000,0.2913667252987712,0.2913667252987712,0.2913667252987712,0.2913667252987712,48.87967112329173,51.120328876708264,0.0,59.68688196733454,58.61944002073997,5.642124365764231,-14.710825524980557,-11.422651012925447,1787485996.941245
